recipe_name,tag,image_url,recipe_url,page,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Margarita glacée aux fraises,BOISSONS,https://assets.magimix.com/files/rec_20795/avatar_App photo 375x353 (1).jpg,https://www.magimix.fr/recettes/margarita-glace-aux-fraises_b,1,Magimix,0,0,0,0,2 verres,"['400 g de fraises', '1  citron vert', '110 ml de tequila', '80 ml de cointreau', '2 c.s. de sel', '2  fraises']"
Tornado potatoes,APÉRITIFS,https://assets.magimix.com/files/rec_93732/avatar_spiraliser potato 375.jpg,https://www.magimix.fr/recettes/tornado-potatoes,1,Magimix,0,0,0,0,4 personnes,"['4  pommes de terre', ""1 L d'huile de tournesol"", '1 pincée de sel', '2 c.s. de parmesan', '5 g de persil']"
Velouté de légumes et truffes,SOUPES,https://assets.magimix.com/files/rec_95005/avatar_veloute-topinambour-avatar.jpg,https://www.magimix.fr/recettes/veloute-de-legumes-et-truffes_b,1,perrine_1914,20,35,55,0,6 personnes,"['500 g de topinambours', '1  échalote', '2  pommes de terre', '1  poireau', ""1  gousse d'ail"", '50 g de beurre', '1 L de bouillon de volaille', '2 c.c. de truffe', '100 ml de crème liquide', '1 pincée de sel', '1 pincée de poivre']"
Velouté chou fleur et Saint-Jacques,SOUPES,https://assets.magimix.com/files/rec_76931/avatar_creme-choufleur-avatar.jpg,https://www.magimix.fr/recettes/veloute-chou-fleur-et-saint-jacques_b,1,david.is.inthekitchen,25,30,55,0,4 personnes,"['500 g de chou-fleur', '1  pomme de terre', '400 ml de bouillon de volaille', '200 ml de lait demi-écrémé, UHT', '100 ml de crème liquide', '1 pincée de sel', '1 pincée de poivre', '8  noix de saint-jacques', ""2 c.s. d'huile d'olive"", '4 brins de ciboulette']"
Galettes de légumes,LÉGUMES,https://assets.magimix.com/files/rec_47942/avatar_galette-legumes-avatar.jpg,https://www.magimix.fr/recettes/galettes-de-legumes_ce,1,Magimix,15,5,20,0,12 pièces,"['1 bouquet coriandre', '2  échalotes', '2  pommes de terre', '2  carottes', '1  poireau', '2 c.s. de farine', '1  œuf', ""25 ml d'huile végétale"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Gratin de pommes de terre au romarin,LÉGUMES,https://assets.magimix.com/files/rec_49254/avatar_gratin-pdt-avatar.jpg,https://www.magimix.fr/recettes/gratin-de-pommes-de-terre-au-romarin_c,1,Magimix,10,50,1,0,8 personnes,"['1  patate douce', '2  pommes de terre', '4  pommes de terre', '150 g de fromage râpé', '400 g de crème fraîche', '1 bouquet de thym', ""2  gousses d'ail"", '1 pincée de poivre']"
Clafoutis aux légumes du potager,VÉGÉTARIENS,https://assets.magimix.com/files/rec_84535/avatar_clafoutis-leg-avtar.jpg,https://www.magimix.fr/recettes/clafoutis-aux-legumes-du-potager_c,1,Magimix,15,35,50,0,12 personnes,"['250 g de ricotta', '6  œufs', '130 g de farine T45', ""4 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre', '250 g épinards', '0.5 bouquet de ciboulette', '1  oignon', '2  carottes', '2  betteraves cuites', '1  poivron rouge']"
Pâte à tartiner aux pistaches,DESSERTS,https://assets.magimix.com/files/rec_97283/avatar_pate-pistache-avatar.jpg,https://www.magimix.fr/recettes/pate-tartiner-aux-pistaches_c,1,Magimix,5,15,35,15,1 pot,"['400 g de pistaches', '1 pincée de fleur de sel', ""25 ml d'huile d'olive""]"
Crème d'olives vertes et ricotta,APÉRITIFS,https://assets.magimix.com/files/rec_93523/avatar_olive-cream-avatar.jpg,https://www.magimix.fr/recettes/creme-dolives-vertes-et-ricotta_c,1,Magimix,5,0,5,0,1 bol,"[""2  gousses d'ail"", '0.5  oignon', '150 g olives', '200 g de ricotta', '8 feuilles de basilic', ""1 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Galette de patate douce,VÉGÉTARIENS,https://assets.magimix.com/files/rec_10646/avatar_galette-patate-avatar.jpg,https://www.magimix.fr/recettes/galette-de-patate-douce_c,1,Magimix,15,5,20,0,8 personnes,"['250 g de patate douce', '2  pommes', '10 g de gingembre', '2  œufs', '2 c.s. de farine T45', ""1 c.s. d'huile d'olive"", '0.5 bouquet de coriandre', '1 pincée de fleur de sel', '1 pincée de poivre', '100 g de crème fraîche']"
Sauce à salade thaï,SAUCES,https://assets.magimix.com/files/rec_32622/avatar_sauce-thai-avatar.jpg,https://www.magimix.fr/recettes/sauce-salade-thai_c,1,Magimix,5,0,5,0,1 bol,"['50 g de beurre de cacahuète', '50 ml de vinaigre de riz', ""125 ml d'huile de tournesol"", '50 ml de sauce soja', '1  citron vert', '3 c.c. de gingembre en poudre', '1 c.s. de graines de sésame', '12 feuilles de coriandre', '1  piment']"
Velouté de champignons,SOUPES,https://assets.magimix.com/files/rec_40561/avatar_veloute-champiparis-avatar.jpg,https://www.magimix.fr/recettes/veloute-de-champignons_b,1,macha.ctn,20,30,50,0,4 personnes,"['200 g de champignon de Paris', '4  pommes de terre', '1  oignon', ""3  gousses d'ail"", '15 g de beurre', ""400 ml d'eau"", '200 ml de crème liquide', '1  bouillon de volaille', '1 pincée de sel', '1 pincée de poivre', '5 branches de persil']"
Soupe aux choux de Bruxelles,SOUPES,https://assets.magimix.com/files/rec_24105/avatar_soupe-chou-avatar.jpg,https://www.magimix.fr/recettes/soupe-aux-choux-de-bruxelles_b,1,Chichivertigo,20,40,1,0,6 personnes,"['500 g de choux de bruxelles', '100 g de châtaignes', '1  cube de bouillon de légumes', ""1 L d'eau"", ""4 c.c. d'huile de noix"", '1 c.s. de crème fraîche', '1 pincée de sel', '1 pincée de poivre']"
Humus de petits pois,APÉRITIFS,https://assets.magimix.com/files/rec_99418/avatar_humusnl-avatar.jpg,https://www.magimix.fr/recettes/humus-de-petits-pois-m,1,Lisa van den Berg,10,0,10,0,1 bol,"['100 g de petits pois', '2 c.s. de tahin', '0.5  de citron jaune', ""2  gousses d'ail"", ""30 ml d'huile d'olive"", '1 pincée de poivre', '2 pincées de cumin', '1 pincée de sel']"
Sauce apéro au potiron,APÉRITIFS,https://assets.magimix.com/files/rec_41401/avatar_painnl-avatar.jpg,https://www.magimix.fr/recettes/sauce-apero-au-potiron_m,1,Lisa van den Berg,40,0,40,0,1 bol,"['400 g de potiron', '50 g de feta', ""20 ml d'huile d'olive"", '4 c.c. de cumin', '2 c.c. de coriandre']"
Crème glacée végan aux Speculos,DESSERTS,https://assets.magimix.com/files/rec_36701/avatar_Vegan Biscoff Ice Cream 375 x 353.jpg,https://www.magimix.fr/recettes/crme-glace-vgan-aux-speculos_g,1,Magimix,2,0,2,0,1 bol,"['120 g de noix de cajou', ""200 ml d'eau"", '400 ml de lait de coco', '200 g de pâte de spéculoos', '120 g de sucre roux', ""2 c.c. d'extrait de vanille""]"
Mousse aérienne aux fraises,DESSERTS,https://assets.magimix.com/files/rec_31356/avatar_mousse-strawberry-avatar.jpg,https://www.magimix.fr/recettes/mousse-arienne-aux-fraises_c,1,Magimix,30,15,2,2,10 personnes,"['400 g de fraises', '50 g de sucre', '2 c.s. de jus de citron jaune', '3 feuilles feuilles de gélatine', ""2  blancs d'œufs"", '210 ml de crème liquide (30 % mat. grasse min.)', '1 c.s. de sucre glace', '100 g de framboises', '100 g de myrtilles']"
Sauce pour poulet au beurre,SAUCES,https://assets.magimix.com/files/rec_84180/avatar_Butter Chicken Sauce (1).jpg,https://www.magimix.fr/recettes/sauce-pour-poulet-au-beurre_b,1,Magimix,0,40,40,0,4 personnes,"[""30 ml d'huile végétale"", '1 c.c. de cumin', '1 bâton de cannelle', '2  badianes', '2  piments', ""5  gousses d'ail"", '2.5 cm de gingembre', '1  oignon', '4  tomates', '1 c.c. de coriandre', '0.5 c.s. de masala', '1 c.c. de cumin', '2.7 g de chili en poudre', ""200 ml d'eau"", '30 g de beurre', '150 ml de crème']"
Gnocchis aux épinards,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_90923/avatar_gnocchi-epinard-avatar.jpg,https://www.magimix.fr/recettes/gnocchis-aux-epinards_c,1,Magimix,15,25,40,0,2 personnes,"['200 g de pommes de terre', ""100 g d'épinards"", '200 g de farine T45', '50 g de fécule de maïs (Maïzena®)', '1 c.c. de noix de muscade', '1 pincée de fleur de sel', '1 pincée de poivre', '1  cube de bouillon de légumes', '10 g de beurre demi-sel', '3 c.s. de crème fraîche', '3 c.s. de fromage à tartiner', ""0.5 bouquet d'aneth"", ""25 ml d'huile d'olive""]"
Tarte aux échalotes rôties,VÉGÉTARIENS,https://assets.magimix.com/files/rec_14594/avatar_tarte-echalote-avatar.jpg,https://www.magimix.fr/recettes/tarte-aux-echalotes-roties,1,Magimix,25,45,1,0,8 personnes,"[""250 g d'échalotes"", ""100 ml d'huile d'olive"", '25 ml de sauce soja', ""1 c.s. de sirop d'agave"", '1 c.s. de vinaigre balsamique', '3 c.c. de persillade', '1 c.s. de paprika', '1  pâte brisée', '100 g de fromage frais', '60 g de parmesan', '1 bouquet de thym', '1 c.s. de crème fraîche', ""5 ml d'huile d'olive"", '6  de mâche', '1 pincée de fleur de sel', '1 pincée de poivre', '1  citron jaune']"
Sauce à salade thaï,SAUCES,https://assets.magimix.com/files/rec_49331/avatar_sauce-thai-avatar.jpg,https://www.magimix.fr/recettes/sauce-salade-thai_r,1,Magimix,5,0,5,0,1 bol,"['50 g de beurre de cacahuète', '50 ml de vinaigre de riz', ""125 ml d'huile de tournesol"", '50 ml de sauce soja', '1  citron vert', '3 c.c. de gingembre en poudre', '1 c.s. de graines de sésame', '12 feuilles de coriandre', '1  piment']"
Roses d'amour,DESSERTS,https://assets.magimix.com/files/rec_45379/avatar_rose-amour-avatar.jpg,https://www.magimix.fr/recettes/roses-damour_c,1,Magimix,10,40,1,10,8 pièces,"['360 g de farine T45', '150 g de sucre', '180 g de beurre', '1  œuf', ""1  jaune d'œuf"", '4  pommes', ""125 ml d'eau"", '1  citron jaune', '25 g de sucre glace']"
Gaufres au lentilles et aux épinards,VÉGÉTARIENS,https://assets.magimix.com/files/rec_8977/avatar_gaufres-lentilles-avatar.jpg,https://www.magimix.fr/recettes/gaufres-au-lentilles-et-aux-epinards_b,1,Magimix,10,5,30,15,10 pièces,"['200 g de lentilles corail', '1  oignon rouge', ""2  gousses d'ail"", ""125 g d'épinards"", '50 g de persil', '1 c.c. de cumin', '1 c.c. de curry en poudre', '50 g de farine T45', '1  œuf', '100 g de yaourt à la grecque', ""25 ml d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée poivre']"
Crémeux d'amour aux agrumes,DESSERTS,https://assets.magimix.com/files/rec_73899/avatar_cremeux-agrumes-avatar.jpg,https://www.magimix.fr/recettes/cremeux-damour-aux-agrumes,1,Magimix,30,10,1,30,4 personnes,"['1  citron jaune', '500 ml de crème liquide', '80 g de sucre glace', '1  clémentine', '1  pamplemousse', '1  orange', '1  citron vert', '20  framboises']"
