recipe_name,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Margarita glacée aux fraises,Magimix,0 min,0 min,0 min,0 min,2 verres,"['400 g de fraises', '1  citron vert', '110 ml de tequila', '80 ml de cointreau', '2 c.s. de sel', '2  fraises']"
Tornado potatoes,Magimix,0 min,0 min,0 min,0 min,4 personnes,"['4  pommes de terre', ""1 L d'huile de tournesol"", '1 pincée de sel', '2 c.s. de parmesan', '5 g de persil']"
Velouté de légumes et truffes,perrine_1914,20 min,35 min,55 min,0 min,6 personnes,"['500 g de topinambours', '1  échalote', '2  pommes de terre', '1  poireau', ""1  gousse d'ail"", '50 g de beurre', '1 L de bouillon de volaille', '2 c.c. de truffe', '100 ml de crème liquide', '1 pincée de sel', '1 pincée de poivre']"
Velouté chou fleur et Saint-Jacques,david.is.inthekitchen,25 min,30 min,55 min,0 min,4 personnes,"['500 g de chou-fleur', '1  pomme de terre', '400 ml de bouillon de volaille', '200 ml de lait demi-écrémé, UHT', '100 ml de crème liquide', '1 pincée de sel', '1 pincée de poivre', '8  noix de saint-jacques', ""2 c.s. d'huile d'olive"", '4 brins de ciboulette']"
Galettes de légumes,Magimix,15 min,5 min,20 min,0 min,12 pièces,"['1 bouquet coriandre', '2  échalotes', '2  pommes de terre', '2  carottes', '1  poireau', '2 c.s. de farine', '1  œuf', ""25 ml d'huile végétale"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Gratin de pommes de terre au romarin,Magimix,10 min,50 min,1 h,0 min,8 personnes,"['1  patate douce', '2  pommes de terre', '4  pommes de terre', '150 g de fromage râpé', '400 g de crème fraîche', '1 bouquet de thym', ""2  gousses d'ail"", '1 pincée de poivre']"
Clafoutis aux légumes du potager,Magimix,15 min,35 min,50 min,0 min,12 personnes,"['250 g de ricotta', '6  œufs', '130 g de farine T45', ""4 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre', '250 g épinards', '0.5 bouquet de ciboulette', '1  oignon', '2  carottes', '2  betteraves cuites', '1  poivron rouge']"
Pâte à tartiner aux pistaches,Magimix,5 min,15 min,35 min,15 min,1 pot,"['400 g de pistaches', '1 pincée de fleur de sel', ""25 ml d'huile d'olive""]"
Crème d'olives vertes et ricotta,Magimix,5 min,0 min,5 min,0 min,1 bol,"[""2  gousses d'ail"", '0.5  oignon', '150 g olives', '200 g de ricotta', '8 feuilles de basilic', ""1 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Galette de patate douce,Magimix,15 min,5 min,20 min,0 min,8 personnes,"['250 g de patate douce', '2  pommes', '10 g de gingembre', '2  œufs', '2 c.s. de farine T45', ""1 c.s. d'huile d'olive"", '0.5 bouquet de coriandre', '1 pincée de fleur de sel', '1 pincée de poivre', '100 g de crème fraîche']"
Sauce à salade thaï,Magimix,5 min,0 min,5 min,0 min,1 bol,"['50 g de beurre de cacahuète', '50 ml de vinaigre de riz', ""125 ml d'huile de tournesol"", '50 ml de sauce soja', '1  citron vert', '3 c.c. de gingembre en poudre', '1 c.s. de graines de sésame', '12 feuilles de coriandre', '1  piment']"
Velouté de champignons,macha.ctn,20 min,30 min,50 min,0 min,4 personnes,"['200 g de champignon de Paris', '4  pommes de terre', '1  oignon', ""3  gousses d'ail"", '15 g de beurre', ""400 ml d'eau"", '200 ml de crème liquide', '1  bouillon de volaille', '1 pincée de sel', '1 pincée de poivre', '5 branches de persil']"
Soupe aux choux de Bruxelles,Chichivertigo,20 min,40 min,1 h,0 min,6 personnes,"['500 g de choux de bruxelles', '100 g de châtaignes', '1  cube de bouillon de légumes', ""1 L d'eau"", ""4 c.c. d'huile de noix"", '1 c.s. de crème fraîche', '1 pincée de sel', '1 pincée de poivre']"
