recipe_name,tag,image_url,recipe_url,page
Margarita glacée aux fraises,BOISSONS,https://assets.magimix.com/files/rec_20795/avatar_App photo 375x353 (1).jpg,https://www.magimix.fr/recettes/margarita-glace-aux-fraises_b,1
Tornado potatoes,APÉRITIFS,https://assets.magimix.com/files/rec_93732/avatar_spiraliser potato 375.jpg,https://www.magimix.fr/recettes/tornado-potatoes,1
Velouté de légumes et truffes,SOUPES,https://assets.magimix.com/files/rec_95005/avatar_veloute-topinambour-avatar.jpg,https://www.magimix.fr/recettes/veloute-de-legumes-et-truffes_b,1
Velouté chou fleur et Saint-Jacques,SOUPES,https://assets.magimix.com/files/rec_76931/avatar_creme-choufleur-avatar.jpg,https://www.magimix.fr/recettes/veloute-chou-fleur-et-saint-jacques_b,1
Galettes de légumes,LÉGUMES,https://assets.magimix.com/files/rec_47942/avatar_galette-legumes-avatar.jpg,https://www.magimix.fr/recettes/galettes-de-legumes_ce,1
Gratin de pommes de terre au romarin,LÉGUMES,https://assets.magimix.com/files/rec_49254/avatar_gratin-pdt-avatar.jpg,https://www.magimix.fr/recettes/gratin-de-pommes-de-terre-au-romarin_c,1
Clafoutis aux légumes du potager,VÉGÉTARIENS,https://assets.magimix.com/files/rec_84535/avatar_clafoutis-leg-avtar.jpg,https://www.magimix.fr/recettes/clafoutis-aux-legumes-du-potager_c,1
Pâte à tartiner aux pistaches,DESSERTS,https://assets.magimix.com/files/rec_97283/avatar_pate-pistache-avatar.jpg,https://www.magimix.fr/recettes/pate-tartiner-aux-pistaches_c,1
Crème d'olives vertes et ricotta,APÉRITIFS,https://assets.magimix.com/files/rec_93523/avatar_olive-cream-avatar.jpg,https://www.magimix.fr/recettes/creme-dolives-vertes-et-ricotta_c,1
Galette de patate douce,VÉGÉTARIENS,https://assets.magimix.com/files/rec_10646/avatar_galette-patate-avatar.jpg,https://www.magimix.fr/recettes/galette-de-patate-douce_c,1
Sauce à salade thaï,SAUCES,https://assets.magimix.com/files/rec_32622/avatar_sauce-thai-avatar.jpg,https://www.magimix.fr/recettes/sauce-salade-thai_c,1
Velouté de champignons,SOUPES,https://assets.magimix.com/files/rec_40561/avatar_veloute-champiparis-avatar.jpg,https://www.magimix.fr/recettes/veloute-de-champignons_b,1
Soupe aux choux de Bruxelles,SOUPES,https://assets.magimix.com/files/rec_24105/avatar_soupe-chou-avatar.jpg,https://www.magimix.fr/recettes/soupe-aux-choux-de-bruxelles_b,1
Humus de petits pois,APÉRITIFS,https://assets.magimix.com/files/rec_99418/avatar_humusnl-avatar.jpg,https://www.magimix.fr/recettes/humus-de-petits-pois-m,1
Sauce apéro au potiron,APÉRITIFS,https://assets.magimix.com/files/rec_41401/avatar_painnl-avatar.jpg,https://www.magimix.fr/recettes/sauce-apero-au-potiron_m,1
Crème glacée végan aux Speculos,DESSERTS,https://assets.magimix.com/files/rec_36701/avatar_Vegan Biscoff Ice Cream 375 x 353.jpg,https://www.magimix.fr/recettes/crme-glace-vgan-aux-speculos_g,1
Mousse aérienne aux fraises,DESSERTS,https://assets.magimix.com/files/rec_31356/avatar_mousse-strawberry-avatar.jpg,https://www.magimix.fr/recettes/mousse-arienne-aux-fraises_c,1
